Number,Product_code,Product_name,Rating,number of reveiws,Price,Images
48,B092HMYLLN,"HP 245 G8 AMD Ryzen 3 - 3300U 14 inch (35.56 cms) Laptop (4GB RAM/1TB HDD/Windows 10 /Radeon Vega 8 Graphics/NO ODD) 366C9PA (1.52kg,Dark ash Silver) 2021 Model",3.8 out of 5 stars,134,"33,990",https://m.media-amazon.com/images/I/3192ObJ8rZL._AC_UY218_.jpg
49,B092MRQCJ6,"Lenovo Legion Y540 Intel Core i7 9th Gen 15.6” FHD Gaming (8GB/256SSD + 1TBHDD/Win10/NVIDIA GeForce GTX 1650 4GB/Raven Black/2.3kg), 81SY00U7IN",4.3 out of 5 stars,73,"69,990",https://m.media-amazon.com/images/I/71zm3gbS9SL._AC_UY218_.jpg
50,B099KDGFWQ,Laptop Solution Sata Hard Disk Connector Cable Compatible for HP Compaq CQ43/G43/430/431/435/436/CQ57/630/631,No Rating Available,0,899,https://m.media-amazon.com/images/I/21Sr7eotPdS._AC_UY218_.jpg
51,B094CD1DTL,"(Renewed) HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",3.0 out of 5 stars,4,"33,500",https://m.media-amazon.com/images/I/41ReDqQSebL._AC_UY218_.jpg
52,B08RXZCXH6,"Dell Vostro 3400 14"" (35.56 cms) FHD Anti Glare Display Laptop (11th Gen i5-1135G7 / 8GB / 1TB / Integrated Graphics / Win 10 + MS Office / Black/ 1.58Kg) D552154WIN9BE",3.7 out of 5 stars,74,"52,490",https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg
53,B094XK1B8P,"Lenovo IdeaPad Gaming 3 Intel Core i5 10th Gen 15.6-inch FHD 120Hz IPS Gaming Laptop (8GB/1TB HDD +256GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6/Onyx Black/2.2Kg), 81Y4017TIN",3.9 out of 5 stars,12,"62,990",https://m.media-amazon.com/images/I/61fpo-87DyL._AC_UY218_.jpg
54,B08P7M9Y59,"Lenovo IdeaPad D330 Intel Celeron N4000 10.1 inch HD IPS 2-in-1 Touchscreen Detachable Laptop (4GB/128GB eMMC/Win10/Active Pen Stylus/Front +Rear Camera/HD Audio/Mineral Grey/1.14Kg, 81H3S01S00)",3.9 out of 5 stars,87,Currently Unavailable,https://m.media-amazon.com/images/I/61+ZQMKTj0L._AC_UY218_.jpg
55,B07SVPSDDM,"Lenovo Ideapad D330-10IGM with Keyboard 4 GB RAM 64 GB ROM 10.1 inch with Wi-Fi Only Tablet (Mineral Grey), 81H3S01W00",5.0 out of 5 stars,1,"25,990",https://m.media-amazon.com/images/I/61+ZQMKTj0L._AC_UY218_.jpg
56,B0928PGBLM,"HP Pavilion x360 10th Gen Intel Core i3 Touchscreen 2-in-1 14-inch(35.6 cm) FHD Laptop (8GB/512GB SSD/Windows 10/MS Office/Warm Gold/1.58 kg), 14-dh1502TU",4.4 out of 5 stars,714,"50,890",https://m.media-amazon.com/images/I/617clKqAqiL._AC_UY218_.jpg
57,B08NXRZJYR,"Dell Inspiron 15 (3501) 15.6"" (39.62cms) FHD Display, 10th Generation Intel Core i3, 8GB RAM, 1 TB HDD, Windows (R) 10 Home Single Language, English Microsoft (R) O&S 2019 (Black) (998-ENDP)",3.7 out of 5 stars,197,"40,399",https://m.media-amazon.com/images/I/719vIKTyr6L._AC_UY218_.jpg
